Name,Order,Suborder,Superfamily,Family,Genus,Species,Identification,Size,Length,Abdomen,Hindwing,Similar Species,Habitat,Discussion,Distribution
Common Green Darner,Odonata,Anisoptera,Aeshnoidea,Aeshnidae,Anax,junius,"This widespread species is one of the most commonly seen in the region. The face is pale green with a distinct black spot on the top of the frons bordered anteriorly by a blue semicircle congering the impression of a bulls eyes. The thorax is green with brown only lightly represented on the lateral sutures. The wings are clear with a yellow costa. The abdomen is mostly blue, with green on segment 1 in males and greenish-brown or reddish-brown throughout in females. The brown superior caudal appendages in the male are long, about the length of segments 9-10 combined.",Total length: 68-84 mm; abdomen: 46-60 mm; hindwing: 45-58 mm.,68-84 mm,46-60 mm,45-58 mm.,Amazon Darner (A. amazili) has a triangular spot on the top of the frons and the abdomen appears ringed. Giant Darner (A. walsinghami) is much larger and Great Pondhawk (Erythemis vesiculosa) is much smaller.,"Permanent and temporary ponds, lakes, bays and slow-flowing streams with emergent vegetation.","This species is probably one of the most familiar dragonflies in all of North America. It is one of the few North American dragonflies that migrates and is therefore most common in the spring and fall. It is a voracious predator commonly taking wasps, butterflies, mosquitoes, and other dragonflies on the wing (photo 000). It has even been reported to attack hummingbirds and can be cannibalistic. It is not uncommon to walk through an open field of tall grass in the early morning and have Common Green Darners flying up from their perches low to the ground, an unusual behavior amongst darners. Mating pairs may fall out of the air to the ground or be seen hanging in bushes or trees. This species is unusual among the darners within the region because females will lay eggs in tandem. Individuals darken considerably in response to cold temperatures but regain their original color upon warming up. There is evidence that its migratory movements are strongly dictated by seasonal warm fronts.",Found throughout North America including all 50 United States; also West Indies; Guatemala and Belize south to Costa Rica and recently England.
Comet Darner,Odonata,Anisoptera,Aeshnoidea,Aeshnidae,Anax,longipes,"This distinct darner has the typical green thorax of the genus, but the abdomen is brick red. The face is yellow-green, but unlike other green darners the top of the frons is unmarked. The legs are unusually long and the femora are red except distally where they become black. The costa is green. The male abdomen is bright red beyond the basal green segments. Females are similar, but with greenish-brown spots, and with blue i
n young individuals on the middle and posterior segments.",Total length: 75-87 mm; abdomen: 50-61 mm; hindwing: 46-56 mm.,75-87 mm,50-61 mm,46-56 mm.,"The brick red abdomen contrasted with the green thorax of older individuals is a combination not seen in any other species with in the south-central United States. Amazon Darner (A. amazili
) and female Common Green Darners (A. junius
) both have markings on the frons.",Primarily fishless temporary and semi-permanent grassy ponds and pools.,"This is an uncommon species, widely distributed throughout the eastern parts of the region. Its interactions with Common Green Darner are unclear. Comet Darner has been reported both outnumbering and being out competed by Common Green Darner in semipermanent artificial ponds. Individuals are not active as late in the day as Common Green Darners. Females lay eggs in submerged vegetation.","Throughout eastern U.S., Ontario and Quebec; southward to Texas and Florida."
Great Spreadwing,Odonata,Zygoptera,Lestoidea,Lestidae,Archilestes,grandis,"Great Spreadwing is found commonly in the Texan biotic province westward. It is the largest damselfly in the United States and can be readily identified in the field based on its large
 size, spreadwing perching behavior and distinct bright yellow thoracic stripes. The mesepisternum is a complete dark, metallic green stripe no more than half the sclerite width. This stripe is generally not contiguous with the middorsal carina; though it is occasionally narrowed towards the middle. The mesepimeron is variable with a metallic green or black stripe. This stripe may extend the full-length or slightly more than 1/2 the width of the sclerite. The remainder of the pterothorax is yellow, resulting in two broad, pale stripes. The wings are either clear or smoky, becoming darker at tips. The first 1/3 to 1/2 of the abdomen is dark metallic green dorsally, becoming yellow or tan ventrolaterally. This pattern becomes obscured with age. There is a narrow, dark, middorsal stripe and black apical ventrolateral carinae on segment 9. Segment 10 has a proximally directed dark median triangle on its dorsum. Mature males develop a white pruinosity laterally and basally on segments 1 and
 2, all of segments 9 and 10, and on the sterna of segments 7 and 8. Females are more robust than males. The general coloration is similar, but with the head paler. The dark mesepisternum and mesepimeron stripes are often narrower and sometimes nearly lacking. The proximal abdominal segments are pale bluish. Segment 10 is tan to nearly black. The basal plate of the ovipositor is truncated posterolaterally. Margins of the valves are strongly and coarsely toothed.",Total length: 50-62 mm; abdomen: 38-47; hindwing: 31-39 mm.,50-62 mm,38-47,31-39 mm.,"Pond spreadwings (Lestes
) are smaller with the length of the hindwing less than 30 mm. No other damselfly in our region approaches the size of Great Spreadwing.",Small permanent ponds or streams with slow or moderate flow,"This species was known only from the southwest United States up until the 1920's, but it has since undergone a dramatic range expansion northward. It now occurs as far northeast as western New England. One study showed that that neither males nor females exhibited any type of courtship behavior, and unreceptive females showed no refusal signs, but rather were simply not at the water or escaped by rapid flight when unreceptive. No pairs were observed ovipositing from beginning to end, but the longest observed egg-laying time was 109 min.",South Carolina north to Vermont west to California and south through Central America to Colombia and Venezuela
Blue-fronted Dancer,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Argia,apicalis,"The head of the male is pale blue anterior to the ocelli and black behind the ocelli with a stripe extending forward to the base of each antennae. The pale blue occipital spots are sometimes connected. The lower lateral third and ventral parts of the pterothorax are pale yellow becoming pruinose and obscured with age. The black thoracic markings however are never obscured. The middorsal carina is narrowly outlined with black. The humeral suture is a hairline black stripe widening above and below, but more so anteriorly. The legs are pale, darkly marked with black on the outer surfaces of the femora and the inner surfaces of the tibiae and tarsi. The abdominal color pattern is black dorsally on segments 1-7, except for pale blue basal rings on segments 3-7. Segments 8-10 are uniformly pale blue over their entire length. The ventrolateral areas of these segments are black. The cerci are short and blunt when viewed laterally, but when viewed posteriorly two
decurved hooks are visible. The paraprocts extend out beyond the cerci, but both are shorter than or subequal in length to segment 10. The paraprocts are distinctly bifid. The head of the female is similarly colored to the male. The dark humeral stripe is usually thin, as in the male, but occasionally it may extend to the mesepimeron. The mesostigmal plates lack posterior lobes, but when viewed laterally the anterior carina is usually visible. Mesepisternal tubercles are small or lacking. The legs are similarly colored to the males. The abdominal color pattern is similar to the male, but often with more extensive black markings. Segments 8-10 are black dorsally, each with a dark dorsolateral stripe.",Total length: 33-40 mm; abdomen: 26-32 mm; hindwing: 21-25 mm.,33-40 mm,26-32 mm,21-25 mm.,"Blue-tipped Dancer (A. tibialis
) has abdominal segment 8 black. Female Powdered Dancers (A. moesta
) look very similar, but are larger. All other dancers will have a broader middorsal thoracic stripe.","Large rivers and occasionally streams, lakes or ponds.","A study of a population of this species, residing at a small pasture pond in Marshall County, Oklahoma, found that males and females reached reproductive age at an average of 8.4 and 7.0 days, respectively with maximum activity occurring at noon. Males were at the water 44% of the days they lived and females only 20%; however, males only mated on 20% of these days and females 89%. Repeat matings, in both sexes, were rare. The movement from roosting sites to the water was characterized by a random shifting, with males arriving at the water earlier than females and spacing themselves at six-foot intervals. Mating occurred a short distance from the main concentration of males and lasted 16 minutes. Females were gregarious laying eggs, either in tandem (75% of the
 time
) or alone, in willow roots, boards and sticks. Further study revealed that males occurred in two color phases: bright blue and a gray-black, and that color change could not be correlated positively with age or reproduction. In the same study, females occurred in three color phases: brown, turquoise and gray-black. Further observations in the field have revealed that the gray-black phase is a temporary color change that occurs during mating and at cool temperatures. Males live more than a month and exhibit intra- and interspecific competition, flicking their wings as a warning to intruders in their territory. On hot days they thermoregulate by raising their abdomen to a 60B0 angle, reducing the surface area exposed to the sun. Variable thoracic stripe patterns are seen in individuals along the periphery of the species' southeastern distribution, with both a broad-striped form, having a wide full-length humeral stripe, and the more typical form with a reduced pattern, as seen in the s
outh-central United States.","Generally east of the Rocky Mountains from Florida to Ontario, but also known from eastern Arizona."
Kiowa Dancer,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Argia,immunda,"The male's head is largely pale violet. There is a distinct but irregular black bar between the eyes and the large violet postocular spots. The antehumeral stripe is pale blue or violet and about the same width as the black middorsal stripe. The black humeral stripe is forked at its upper half and the metapleural suture is outlined in black line. The bottom of the pterothorax generally has a mottled appearance. The femora are pale w
ith dark stripes running lengthwise. The inner sides of the tibiae are pale and the tarsi are black. There are generally only 3 postquadrangular cells in both the fore- and hindwing. The abdomen is pale violet or sometimes blue with black maculation. There is a basal black spot and small antero- and posterolateral spot on segment 1. Segment 2 has 3 spots, an apical and basal superior spot and an inferior middle spot; all of which may be confluent. Segments 3-6 are marked with black post-basally and on the apical 1/3 of each segment laterally. On segments 4-6 these post-basal streaks are generally confluent with the opposite side resulting in a distinct pale, dark, pale, dark pattern of the abdomen. Segment 7 is entirely black with a thin pale basal ring. Segments 8-10 are blue with a ventrolateral black streak. The cerci are divided at their tip and the cerci are sharply bifurcate with the lower lobe rounded and the superior lobe acutely directed dorso-posteriorly. The female is simila
rly colored to the male but paler. The forked humeral stripe is thin and scarcely covers the suture. The antehumeral stripe is pale and often marked with darker spots. The mesostigmal plates lack a posterior lobe and their posterior margin is generally elevated medially. The middorsal thoracic carina bifurcates widely, well behind the posterior margin and the mesepisternal tubercles are lacking. The abdomen is marked as in the male, but with segment 7 not as black and similar to segment 6. Segments 8 and 9 are pale with a dark ventrolateral stripe on each side. Segment 10 is entirely pale.",Total length: 33-38 mm; abdomen: 25-31 mm; hindwing: 19-25 mm.,33-38 mm,25-31 mm,19-25 mm.,"Variable (A. fumipennis
) and Lavender Dancers (A. hinei
) are similar but lack the pale-dark-pale-dark abdominal pattern unique to Kiowa Dancer. Its size and this distinctive pattern should separate this species from all other damselflies in the region.",Streams and rivers.,"Despite the fact that this species is widely distributed in our region and commonly encountered, remarkably little is known of its biology. Though the alternating pale, dark, pale, dark pattern on the abdomen is always visible, it can become slightly obscured with age.",Southwestern U.S. from California eastward to South Dakota and Texas; also south through Mexico to Belize.
Powdered Dancer,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Argia,moesta,"The head of young males is dark brown, with a pale labium, labrum, clypeus, genae and frons. Older individuals have a blue-white pruinosity dorsally on the head. There is a dark brown middorsal stripe and a pale antehumeral stripe approximately half its width. A dark narrow humeral stripe extends nearly to the antealar carina and is confluent with the mesepimeral stripe anteriorly. The legs are pale with dark stripes on the outer surfaces of the femora and the tarsi are black. The pterothorax, coxae and femora are all pruinose in older individuals. There are 4 and 5 postquadrangular cells in the fore- and hindwings, respectively. The abdomen is brown basally and distally on segments 9 and 10. The middle segments are much darker, almost black an
d segments 1-6 are tan laterally. The abdomen in older individuals becomes black, except for pale areas laterally on segment 1 and the basal rings on segments 3-7. The cerci, when viewed laterally are blunt and rounded with a dorsally-directed tooth near apex. Females are similarly patterned to males and can be tan or blue. The narrow middorsal carina is outlined in black and a dark humeral stripe is barely visible. The metapleural suture is unmarked or often with a thin dark line and a brown spot in close proximity to the antealar carina. The mesostigmal plates have a distinct posterior lobe bearing a low ridge that curves over the middle half of each plate, when viewed dorsally. Mesepisternal tubercles are present. The legs are pale, but with dark stripes on the outer surfaces of the femora and the inner surfaces of the tibiae. The tarsi and accompanying spurs are dark. The abdomen is pale blue or brown basally becoming darker posteriorly and a pale stripe runs its full-length middor
sally, but is constricted apically at each segment. There is a wide dark brown longitudinal stripe paralleling the middorsal stripe except for pale basal rings. Ventrolaterally, a brown spot is visible at the apex of segments 2-7. Segments 8-10 are pale with a dorsolateral dark stripe on segments 8 and 9.",Total length: 37-42 mm; abdomen: 28-37 mm; hindwing: 22-29 mm.,37-42 mm,28-37 mm,22-29 mm.,"Sooty Dancer (A. lugens
) is a larger and darker species with a dark stripe on each side of the middorsal thoracic stripe. Older males are also nearly black, lacking the white pruinescence seen in Powdered Dancer. The top of the middle abdominal segments in Tonto Dancer (A. tonto
) are blue or violet. Female Blue-fronted Dancers (A. apicalis
) are very simialar, but smaller and the last few abdominal segments are generally darker.",Swift currents of rivers and lakes with emergent stones and rocky shores.,"Females in the southeastern United States may have more extensive black markings on the thorax and abdomen, such that they appear more similar to males. They have a wide middorsal stripe that is sometimes divided on each side by a thin pale stripe. The humeral stripe may also be wide and forked medially. A study of individuals in an Ohio stream revealed that individuals will move as much as 185 m away from the stream. Females spend the majority of their time 75-150 m from the water. Males become pruinose starting middorsally on the thorax and become sexually mature when this pruinescence reaches beyond the black midfrontal stripe and females aren't receptive to males until they become blue. This color change requires two days after maturation. Next to
Dusky Dancer (A. translata), Powdered Dancer is probably the most widely distributed species in the genus, occurring from about 45o0 N latitude in Canada to about 20o0 N in Mexico. Powdered Dancer is adaptable when invading new areas, by laying eggs in the previously unutilized surface of Salix roots. Mating and egg laying average 22 and 47 minutes, respectively and females turn dark while in tandem. Tandem pairs will aggregate in large numbers to lay eggs in roots, stems, debris and algae, often submerging themselves more than a meter for periods up to an hour. Two additional studies have shown the first symphoretic association of Powdered Dancer with a non-biting midge (Nanocladius branchicolus
) and the effect of individuals losing their caudal lamellae swimming speed. If two of these lamellae are missing, larger individuals swim faster than smaller ones, but statistically slower than individuals that retain two or three lamellae.","Throughout southern Canada and the United States, except for the Pacific Northwest. Also south into Mexico."
Aztec Dancer,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Argia,nahuana,"The male's head is dark blue with large postocular spots broadly connected. The pale blue antehumeral stripe is nearly as wide as the black middorsal stripe and the dark humeral stripe is forked posteriorly at about half its length. There are 4 and 3 postquadrangular cells in the fore- and hindwings, respectively. The legs are pale blue with black stripes on the outer femoral and inner tibial surfaces. The tarsi are pale blue armed with black spurs. The abdomen is blue with a large black anteapical spot and a smaller dark spot below on segment 2. The apical fourth of segments 3-6 is black. Segment 7 is generally black dorsally with a blue middorsal streak of varying width and a blue basal ring. Segments 8-10 are blue with black ventrolateral spots on segments 8 and 9 that may be confluent with one another. The cerci are distinct, in dorsal view, with a prominent medially directed lobe. Laterally, these appendages are no more than 2/3 the length of the paraprocts, and an apical ventrally directed tooth is often visible. The coloration of the female is similar to the male, but is pale brown instead of blue. The middorsal carina is usually pale brown and the pale antehumeral stripe is nearly as wide as the dark middorsal stripe. The mesostigmal plates are recognizable because of the broad transverse expanse of each posterior lobe. Abdominal segments 3-6 bear a basal and apical black spot that generally are not confluent with one another. Segment 7 is similar to the male but with a smaller apical spot below. Segments 8 and 9 both have a black spot dorsolaterally that may extend the full-length of each segment. There is often an additional apical spot laterally on each of these segments. Segment 10 is pale.",Total length: 28-35 mm; abdomen: 23-28 mm; hindwing: 18-23 mm.,28-35 mm,23-28 mm,18-23 mm.,"The lateral black markings on the abdomen of Leonora's Dancer (A. leonorae) taper to a point (apearing like spear-tips dorsally), unlike Aztec Dancer. Variable (A. fumipennis) and Lavender Dancers (A. hinei) both have a complete, dark, ventrolateral stripe on segments 8-10 (Aztec Dancer lacks any ventrolateral markings on 10) and are largely violet. Springwater Dancer (A. plana) had dark markings anterolaterally on segments 5 and 6 and the postoccular spots are not broadly joined. Double-striped Bluet (Enallagma basidens) has a pale stripe dividing the dark humeral stripe","Small, shallow, clear water streams, fully exposed to sunlight with only moderate marginal vegetation.","Bick and Bick (1958) studied the Odonata at Cowan Creek, Marshall County, in southern Oklahoma. Aztec Dancer was by far the dominant species at this creek, where they observed and documented its egg laying behavior: ""Male and female perched in full sunlight on a blade of grass six inches from the margin of the creek where the water was one inch deep...The abdomen of the female was bent at a sharp angle and its tip touched the plant one half inch below the water surface where eggs were apparently deposited. She probed for a few seconds with the tip of her abdomen, remained motionless for two and one half minutes, probed briefly and remained motionless for five minutes. The pair visited three more blades of grass where the female alternately probed and remained motionless but for only 30 seconds at each blade.""",Western U.S. from Oregon south to California and east to Texas and Oklahoma. Also south into Mexico.
Springwater Dancer,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Argia,plana,"The head of the male is blue, with a pair of postocular spots that are widely confluent with the compound eyes and separated by a pale occipital bar. The antehumeral stripe is pale blue bordered by a dark middorsal stripe of about the same width. The black humeral stripe is unforked and about half the width of the humeral stripe at its widest. It narrows considerably at its middle and then widens again at the upper end. The pterothorax becomes paler laterally. The metapleural suture is narrowly outlined by a black line. The legs are blue with heavy black markings on the outer femoral and inner tibial surfaces. The tarsi are black and armed with black spurs. There are generally 4 and 3 postquadrangular cells in the fore- and hindwings, respectively. The abdomen is bright blue with a small black basal spot dorsally and lateral spot apically on segment 1. The black basal spot and larger lateral apical spot on segment 2 may be connected to form a lateral stripe. Dark subb
asal spot on segments 3-6 taper apically on the posterior segments. The dark apical spot on segments 3-6 are confluent medially. Segment 7 is nearly all black, except for a pale apical ring and middorsal line for half its length. Segments 8-10 are entirely pale blue. Laterally, there is a short ventrally directed apical black tooth on the cerci. The paraprocts are bifid with the superior lobe serrated and twice as long as inferior lobe. Individuals from western New Mexico are violet not blue. The female is pale brown with the head and thorax similar to the male. The mesostigmal plates are broadly flattened and unnotched but slightly angulate posteriorly and mesepisternal tubercles are present. The legs are much paler than in the male with only limited black markings on the femora and tibiae and the tarsi are brown. The abdominal color pattern closely approximates that of male, but with the black markings more extensive and the general pattern more variable. There is a basal black spot
dorsolaterally on segment 9.",Total length: 34-40 mm; abdomen: 26-33 mm; hindwing: 22-25 mm.,34-40 mm,26-33 mm,22-25 mm.,"Aztec (A. nahuana
) and Variable (A. fumipennis
) Dancer both have a forked humeral stripe. Lavender (A. hinei
) and Variable Dancer both have a black ventrolateral stripe on abdominal segments 8-10 that is absent in Springwater Dancer. Apache Dancer (A. munda
) is larger, its legs are paler and the middorsal thoracic stripe is about the same width as the humeral stripe. Vivid Dancer (A. vivida
) is very similar and where these two species overlap, in the western part of our region, individuals should be checked carefully. There are no reliable field marks to separate these, but their ranges don't overlap extensively.","Small shallow, canopied spring seepages with clay substrate.","Violet forms of Springwater Dancer start appearing in western Texas, I have collected them in Brewster and Jeff Davis counties. A study of egg laying behavior of a population of this species at Cowen Creek in Marshall County, Oklahoma revealed pairs in which the female clasped a small dead twig and the male was supported by only the female. The female curved her abdomen slightly and deposited eggs on or in the clay of this spring at a depth of no more than half an inch. The pairs remained motionless for 15 minutes with little probing. A female was also seen laying eggs in clay outside of the spring itself. And another study of a p
opulation in a southern Oklahoma stream found that males seized females predominately at the water's edge as females approached. Mating quickly occured at an average distance of 1.5 meters from the waters edge. Pairs did not change perch location, but were seen shifting positions on the perch during mating, 2-7 times. Mating and egg laying lasted an average of 27 and 47 minutes, respectively. Females were observed laying eggs almost exclusively in Nasturtium (water cress
) and debris.",Central U.S. from Arkansas north to Wisconsin and west to Arizona; also south through Mexico to Guatemala.
Blue-ringed Dancer,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Argia,sedula,"Head of the males is dark and often the blue postocular spots are obscured. The middorsal stripe are black. The broad humeral stripe is black and nearly tw
ice as wide as the pale antehumeral stripe. The black stripe on the metapleural suture widens. The rest of the pterothorax is blue, becoming paler and almost yellow ventrally. The legs are largely black except for the medial surfaces of the femora and lateral surfaces of the tibiae and tarsi. There are 4 and 3 postquadrangular cells in the fore- and hindwings, respectively. Abdominal segment 1 is blue with dark brown dorsobasally and laterally. Abdominal segment 2 is black dorsally with a small pale blue spot basally or on each side of the midline. Segments 3 through 7 are black dorsally with a blue basal ring. Ventrolateral areas of the segments are paler and confluent. Segments 8-10 are blue with a black ventrolateral stripe extending to the apical portion of segment 10. The cerci are straight in lateral view, with a ventrally projecting tooth. The paraprocts are bifid with a superior lobe rounded and directed dorsally. The inferior lobe is strongly serrated and projecting posteroven
trally. The head of the female is largely a combination of pale brown and olivaceous markings. The pterothorax is brown dorsally, becoming paler ventrally. The middorsal and humeral stripes are reduced to thin black hairlines and often the latter is absent entirely. The legs are pale brown with dark stripes on the outer surfaces and armed with black spurs. The mesostigmal plates are long and strongly erect appearing almost perpendicular to the mesepisternum, when viewed laterally mesepisternal tubercles are small or absent entirely. The abdomen is pale brown dorsally on segments 2-7. The ventrolateral stripes and basal rings are often ill-defined, but with touches of blue or green evident. Segments 8-10 are pale and lack dark markings.",Total length: 29-34 mm; abdomen: 22-28 mm; hindwing: 17-21 mm.,29-34 mm,22-28 mm,17-21 mm.,"Golden-winged Dancer (A. rhoadsi
) has deeper amber colored wings and a bluer abdomen. Golden-winged Dancer also lacks dark ventrolateral stripes on segments 8-10. Dorsally, the dark middorsal stripe on abdominal segments 3-6 is divided by a pale area in Kiowa Dancer (A. immunda).","Lakes, ditches, streams and rivers with gentle current and dense vegetation.","This species is more prone to perching on vegetation, often in the shade, than most dancers. Pairs require 10-15 minutes to mate and egg laying occurs in tandem, often in large numbers. A mark-recapture study on adult Blue-ringed Dancers at a small creek on the campus of the University of Texas at Arlington revealed that males had an average daily probability of survivorship of 0.79 and that activity was closely correlated with bright sun.",From Florida north to Pennsylvania west to California and south into Mexico.
Dusky Dancer,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Argia,translata,"In males the front of the head is pale, becoming almost entirely black with age. The top of the head is largely black with pale postoccipital spots and an occipital bar becoming obscured with age. The head noticeably hairy. The black middorsal stripe is broad and the pale yellow antehumeral stripe is a third the width of the middorsal stripe. The dark humeral stripe may be almost completely divided longitudinally by a pale stripe in younger individuals. These dark stripes become fused in older males. There is a black stripe on the met
apleural suture. The rest of the pterothorax is pale yellow becoming densely pruinose in older individuals. The legs are black with a narrow pale stripe on their outer surface. There are 5 and 4 postquadrangular cells in the fore- and hindwings, respectively. Abdominal segment 1 is black with a large pale lateral spot on each side and a laterally elongated apical spot. Segment 2 is black with a pale middorsal stripe which is often broken medially. Segments 3-7 are largely black with a pale yellow or blue basal ring and a pale ventrolateral stripe on each side. Segment 8 is black with a strongly irregular blue ring basally whose sides are exaggerated and extend posteriorly. The top of segment 9 is blue for a quarter or more of their length. The apical portion of the segment is black and strongly sinuate dorsally and laterally. Segment 10 is black with a small pale spot laterally. The cerci are strongly decurved when viewed laterally. The paraprocts are dark and branched with the dorsall
y directed superior lobe rounded and the longer inferior lobe directed posteroventrally. The female is similar to the male with large pale postoccipital spots and an occipital bar. The posterior lobes of the mesostigmal plates are slightly constricted at their base when viewed dorsally. Laterally, these lobes appear as a thin linear projection. Mesepisternal tubercles are well developed. The antehumeral stripe is pale and 2/5 as wide as the black middorsal stripe. The humeral stripe is most often divided as in younger males. Abdominal segment 2 is as in younger males, with the pale middorsal stripe often divided into a basal stripe and an apical spot. Segments 3-7 each have a pale basal ring that is contiguous with the pale ventrolateral stripe. There is a continuous pale middorsal stripe that is widest on the anterior segments. Segments 8-10 are pale with a lateral dark stripe.",Total length: 32-38 mm; abdomen: 25-33 mm; hindwing: 19-23 mm.,32-38 mm,25-33 mm,19-23 mm.,"Sooty Dancer (A. lugens
) and Powdered Dancer (A. moesta
) are both larger. Segments 8 and 9 are mostly black and there is a dark line paralleling the middorsal thoracic stripe in both sexes of Sooty Dancer. The pale color pattern on segments 8 and 9 are different and mature individuals of the Powdered Dancer become gray or whtie. Tonto Dancer (A. tonto
) has a largely violet abdomen.",Streams and rivers generally with a lot of exposure to sun and only moderate vegetation.,This species has the widest distribution of any dancer occurring in the United States and is subject to a great amount of ontogenetic change as an early adult. This change is especially evident in the pterothoracic markings and on abdominal segments 8 through 10.,"Georgia north to Ontario, Canada; east to Oklahoma and Texas and south through Central America to Argentina."
